英吉利语,现代白话,先秦文言,先秦文言略言（同全言则用“-”）
Inscryption,《邪恶冥刻》,《冥锲》,《锲》
inscryption,冥刻,冥锲,锲
scrybe,冥刻者,司锲,-
mod,模组,补缀,补
achievement,成就,功,-
achievements,成就,功成录,-
ability / abilities,能力,印技,技
appendix,附录,附编,-
sacrifice (verb),献祭,牲祀,祀
sacrifice (offering),祭品,牺牲,牲
sigil,印记,印契,印
pelt,毛皮,裘革,革
boon,奖励,惠,-
stats,属性,数,-
cost,成本/费用,直,-
card,卡牌,牌,-
pack,卡包/包,牌韬,韬
extension,扩展,拓,-
lane,路线/列位,列,-
mox,玛珂,玛珂,-
gem,宝石,玉,-
misplay,昏招,昏著,-
beast,野兽,兽,-
robot,机器人,机人,-
blood,血量,衅血,血
health,生命,命,-
foil,箔片/闪卡,箔,-
bone (a kind of cost),骨头/兽骨,骴骨,骨
energy,能量,能,-
power,力量,威,-
P03,鉟零三,鉟零三,-
tribe,族群,属,-
item,道具,器,-
scales,天平,衡,-
slot effect / slot effects,卡槽效果/卡位效果,位效,-
play,打出,陈牌,陈
woodcarver,木雕师,刻木妪,妪
draw,抽牌,引牌,引
turn,回合,合,-
creature,造物,物,-
battle,战斗,战,-
item,道具,器,-
eye,眼,目,-
pass,跳过,过,-
totem,图腾,神偶,偶
offering,祭品,神献,献
trapper,猎人,猎夫,-
trader,毛皮商,贾妇,贾
prospector,矿工,采夫,采
overkill,过量伤害,溢伤,-
Squirrel,松鼠,松鼠,-
boss,头目,魁,-
boss battle,头目战,魁战,-
rare card,稀有卡牌,罕有牌,-
map,地图,图,-
Wetlands,湿地,湿泽,泽
Snow Line,雪线,雪垠,垠
subsection,小节/分节,节,-
robot,机器人,机人,-
bot,机器人,机人,-
file,文件,牍,-
generator,生成器,机枢,枢
conduit,管道,渠,-
mist,雾/寒雾,雾,-
hound,猎犬/狗,犬,-
soul / souls,灵魂,魂,-
angler,钓鱼人,渔父,渔
hare,野兔,兔,-
wolf,狼,狼,-
Golden Pelt,金羊皮,金革,金
coffin,棺木/棺材,棺,-
funeral,殡仪/葬礼,殡,-
trial,试炼,试,-
candle,蜡烛,烛,-
boon,奖励,惠,-
challenger,挑战者,角者,-
Deathcard,死亡卡,死牌,-
portrait,肖像/卡面,像,-
rulebook,规则书,律书,律
safe,保险箱,匮,-
board,牌局/牌桌,局,-
choice/option,选择/选项,择,-
replace,换/替,易,-
liquidate / sell off,变卖,鬻,-
outpost / trading post,前哨站/小型贸易站,肆,-
pickaxe,镐头,镐,-
blessing,祝福,祐,-
flesh,肉,肌,-
gift,礼物,赠,-
hook,鱼钩/钩子,钩,-
deck,牌组/牌列,牌列,-
mule,骡子,骡,-
spoils,战利品,获,-
topdeck,顶牌/牌库顶抽牌,上引,-
ritual,仪式,仪,-
misplay,昏招,昏著,-
tooth,牙齿,齿,-
cheat,作弊,诈,-
film roll,胶卷/影卷,影卷,-
worthy,值得/够格,堪,-
predecessor,前一任/前人,前人,-
impale,刺穿/贯穿,贯,-
trade/deal,交易/买卖,贾,-
Mycologists,菌学家,蕈家,-
spore cloud,孢子云/孢子雾,蕈霭,-
duplicate / 2 of the same,两个相同/同样的,同物 / 2同,-
pirate,海盗,海上之盗,-
tomb/tombstone,坟冢/墓碑,冢,-
grave,坟墓,墓,-
ghoul,食尸鬼/尸鬼,冢鬼,-
trade (verb),交易/交换,易,-
surrender/concede,投降/认输,降,-
scoop,收牌/认输收牌,敛牌,-
duplicate cards,重复卡牌,复牌,-
pair(s),一对/成双,耦,-
mercy,怜悯/宽恕,恕,-
organs,内脏/脏器,腑,-
rightful place,应有之位,所宜之位,-
